Accession,Planting,Country,State,County,Google_Latitude,Google_Longitude,PosNum,LCMSplantingID,Ozark_Chinquapin,ID,sEmerge_19846,lEmerge_19846,Surv_19846,basDia_19846,stNum_19846,stLeng_19846,leafL_19846,leafW_19846,leafN_19846,Notes_19846,sEmerge_19887,lEmerge_19887,Surv_19887,stNum_19887,stLeng_19887,basDia_19887,leafN_19887,leafL_19887,leafW_19887,Notes_19887,sEmerge_19916,lEmerge_19916,sEmergeDate_NA,lEmergeDate_NA,Surv_19916,stNum_19916,stLeng_19916,basDia_19916,leafN_19916,leafL_19916,leafW_19916,Notes_19916,Surv_19950,stNum_19950,stLeng_19950,basDia_19950,leafN_19950,leafL_19950,leafW_19950,Notes_19950,Surv_19983,stNum_19983,stLeng_19983,basDia_19983,leafN_19983,leafL_19983,leafW_19983,Notes_19983,Id,Taxon,Area,Bed,Position/Spot,Inventory Date,Status,Plant Count,Planting Material Type,Source,Provenance,Property,Ipen,Restriction,Date received,Quantity received,Collector,Collection Num,Collection Date,Sampling method,EO ID,EO number,Property ownership,Notes on Habitat and soil,Mother Plant/Maternal Pop,Family,Seed/Lot #,Index Seminum Year,Mapped,Label Graphic
2024-0226,12,United States,Mississippi,Attala,33.11028128,-89.57617063,76,2024-0226-12,TRUE,2 - 12,N,Y,Y,1.06,1,4.2,4.1,2.1,8,NA,N,Y,Y,1,7,2.33,10,8,3.5,NA,N,Y,-,3/18/24,Y,1,8.5,2.06,10,8.5,4,NA,Y,1,9.4,3.34,20,8.5,3.7,NA,Y,1,13.1,4.43,31,11.3,4.2,NA,1298760,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Alive,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0226,NA,NA,19,Jackie Sprayberry,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0226,14,United States,Mississippi,Attala,33.11028128,-89.57617063,376,2024-0226-14,TRUE,2 - 14,N,N,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,1,3.8,1.56,5,2.6,1.4,NA,N,Y,-,5/28/24,Y,1,5.7,1.6,6,5.5,2.6,NA,Y,1,15.1,2.3,15,11.1,3.8,NA,Y,1,20.4,3.1,20,14.2,5.4,NA,1298762,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Alive,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0226,NA,NA,19,Jackie Sprayberry,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0226,15,United States,Mississippi,Attala,33.11028128,-89.57617063,210,2024-0226-15,TRUE,2 - 15,N,Y,Y,0.88,1,4.5,4.3,2.1,4,NA,N,Y,Y,1,8.6,1.72,9,9.2,3,NA,N,Y,-,3/25/24,Y,1,9.2,2.24,10,8.7,3.4,NA,Y,1,10.6,3.02,13,9.8,3.2,NA,Y,1,10.4,3.1,12,9.5,3.1,NA,1298763,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Alive,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0226,NA,NA,19,Jackie Sprayberry,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0227,2,United States,Mississippi,Montgomery,33.51280512,-89.63498848,496,2024-0227-2,TRUE,3 - 2,N,Y,Y,1.52,1,8.9,7.6,3.9,7,NA,N,Y,Y,1,13,2.25,11,8.1,3.8,NA,N,Y,-,4/15/24,Y,1,13.6,2.46,11,8.1,3.7,NA,Y,1,15,3.08,17,8.1,3.8,NA,Y,1,17.3,3.91,22,11.9,4.1,NA,1298764,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Alive,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0227,NA,NA,12,Jack Herring,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0227,3,United States,Mississippi,Montgomery,33.51280512,-89.63498848,600,2024-0227-3,TRUE,3 - 3,N,Y,Y,1.88,1,9.7,8,3.4,8,NA,N,Y,Y,1,9.9,2.13,8,7.8,2.8,NA,N,Y,-,4/1/24,Y,1,10,2.03,7,8,3,NA,Y,1,10.1,2.86,9,8.4,3.1,NA,Y,1,19.6,2.98,13,13.4,5.7,NA,1298765,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Alive,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0227,NA,NA,12,Jack Herring,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0227,4,United States,Mississippi,Montgomery,33.51280512,-89.63498848,308,2024-0227-4,TRUE,3 - 4,Y,Y,Y,1.14,2,7.1,6.7,3,5,NA,Y,Y,Y,1,10.3,1.78,8,8.8,3.9,NA,Y,Y,3/5/24,4/15/24,Y,1,9.9,2.17,8,9.1,3.8,NA,Y,1,10.1,2.58,8,9.1,3.9,NA,Y,1,10.5,3.48,12,9,3.7,NA,1298766,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Alive,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0227,NA,NA,12,Jack Herring,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0227,5,United States,Mississippi,Montgomery,33.51280512,-89.63498848,440,2024-0227-5,TRUE,3 - 5,N,Y,Y,1.33,1,6.8,7.2,3.4,8,NA,N,Y,Y,1,11.9,1.97,13,7.5,3.5,NA,N,Y,-,4/15/24,Y,1,10.6,2.16,13,7.4,3.5,NA,Y,1,11.3,3,17,7.2,3.6,Speckling on leaves,Y,1,19.8,3.31,24,14.5,4.9,NA,1298767,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Alive,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0227,NA,NA,12,Jack Herring,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,N,N,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,1,2.1,1.09,3,0.8,0.1,NA,N,Y,-,6/3/24,Y,1,5.6,0.96,8,6,3.1,NA,Y,1,8.2,2.25,7,8.7,3.9,NA,Y,1,10.2,3.2,12,9.4,3.3,NA,1298768,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Alive,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0227,NA,NA,12,Jack Herring,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0227,7,United States,Mississippi,Montgomery,33.51280512,-89.63498848,315,2024-0227-7,TRUE,3 - 7,N,Y,Y,1.53,1,8,7.1,3.9,5,NA,N,Y,Y,1,11.3,1.81,7,7.2,3.7,NA,N,Y,-,4/8/24,Y,1,11,3.6,8,7.9,3.4,NA,Y,1,16.4,3.94,12,7.6,4.2,NA,Y,1,25.5,3.87,18,15.5,6.7,NA,1298769,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Alive,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0227,NA,NA,12,Jack Herring,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0227,10,United States,Mississippi,Montgomery,33.51280512,-89.63498848,348,2024-0227-10,TRUE,3 - 10,N,Y,Y,1.45,1,9.8,9,3.8,6,NA,N,Y,Y,1,12.7,2.12,8,9.2,3.7,NA,N,Y,-,3/25/24,Y,1,12.5,3.12,10,9,3.9,NA,Y,1,13,3.64,9,9.3,4.2,NA,Y,3,13.3,2.58,20,10.9,4.1,Measured tallest stem,1298772,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Alive,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0227,NA,NA,12,Jack Herring,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
